Position,Name,Rating,Team,Season
S,Tracy Walker,73.5,Detroit Lions,2020
RT,Halapoulivaati Vaitai,74.4,Detroit Lions,2020
S,Duron Harmon,74.4,Detroit Lions,2020
QB,Matt Ryan,75.8,Atlanta Falcons,2020
DI,Grady Jarrett,90.1,Atlanta Falcons,2020
RB,Todd Gurley II,67.0,Atlanta Falcons,2020
DI,Tyeler Davison,67.5,Atlanta Falcons,2020
RB,Brian Hill,58.9,Atlanta Falcons,2020
DI,Marlon Davidson,81.0,Atlanta Falcons,2020
TE,Hayden Hurst,73.1,Atlanta Falcons,2020
Edge,Dante Fowler Jr.,72.0,Atlanta Falcons,2020
WR,Julio Jones,90.6,Atlanta Falcons,2020
Edge,Takkarist McKinley,67.0,Atlanta Falcons,2020
WR,Calvin Ridley,74.9,Atlanta Falcons,2020
LB,Deion Jones,76.6,Atlanta Falcons,2020
WR,Russell Gage,66.3,Atlanta Falcons,2020
LB,Foyesade Oluokun,62.6,Atlanta Falcons,2020
LT,Jake Matthews,79.7,Atlanta Falcons,2020
CB,A.J. Terrell,76.6,Atlanta Falcons,2020
LG,Matt Hennessy,87.7,Atlanta Falcons,2020
CB,Isaiah Oliver,56.8,Atlanta Falcons,2020
C,Alex Mack,72.1,Atlanta Falcons,2020
CB,Kendall Sheffield,47.5,Atlanta Falcons,2020
RG,Chris Lindstrom,66.6,Atlanta Falcons,2020
S,Keanu Neal,72.0,Atlanta Falcons,2020
RT,Kaleb McGary,53.0,Atlanta Falcons,2020
S,Ricardo Allen,58.7,Atlanta Falcons,2020
QB,Nick Foles,76.6,Chicago Bears,2020
DI,Akiem Hicks,91.7,Chicago Bears,2020
RB,David Montgomery,66.6,Chicago Bears,2020
DI,Eddie Goldman,70.7,Chicago Bears,2020
RB,Tarik Cohen,60.6,Chicago Bears,2020
DI,Bilal Nichols,52.0,Chicago Bears,2020
TE,Jimmy Graham,58.0,Chicago Bears,2020
